weight;en_feat;it_feat;en2_feat
2.3398591684729984;audiovisual;audiovisivo;Audiovisual
2.0757785555330712;drones;droni;
1.9835470610144887;engineering;ingegneria;engineering
1.9571335363599909;drone;drone;
1.6998107105023792;production;produzione;production
1.5725276458879238;per;per;for
1.5627486010225704;aerial;aereo;aerial
1.5252392240508026;projects;progetti;blueprints
1.5229698232347215;environmental;ambientale;environmental
1.4923090384036817;dji;dji;
1.4922544486099054;clients;clienti;clients
1.4602899568498624;photographs;fotografie;photographs
1.4387659593681992;documentary;documentale;documentary
1.319802691917956;video;video;video
1.2990218685782546;fly;volare;mosca
1.2613868940180928;provide;fornire;provide
1.2510761912459576;management;dirigenza;management
1.2489772342997547;videos;video;video
1.2361179457857665;com;com;
1.2289028374747106;corporate;corporativo;corporate
1.1650946612639237;agriculture;agricoltura;agriculture
1.1497957362382325;control;controllo;control
1.1409536141365824;photogrammetry;fotogrammetria;
1.1026178665598738;services;servizi;services
1.0818619403645608;infrastructures;infrastrutture;infrastructures
1.057793581624629;experience;esperienza;experience
1.0381723452354672;construction;costrutto;construction
1.0375460156249838;mini;mini;mini
1.0320114626803614;pilot;piloto;pilot
1.023981453663088;assessment;titolazione;assessment
0.9997819489982812;located;localizzato;located
0.9796870823978436;topography;topografia;topography
0.9692342495412332;design;disegnare;design
0.9679045224830652;study;studio;studio
0.9588005619927688;company;impresa;company
0.949020260288592;rpas;rpas;rpas?raps
0.9438444077126592;ground;terra;earth
0.9064687235310572;civil;civile;civil
0.8837171151173265;service;servizio;service
0.8793584304734403;television;televisivo;television
0.8775519824393543;streaming;streaming;
0.8660036692328774;develop;sviluppare;develop
0.860781441170121;prevention;prevenzione;prevention
0.8599778933942825;info;info;
0.8548406388096204;coast;costa;coast
0.8536886643143395;fields;campi;countrysides
0.8443272522039168;camera;camera;chamber
0.8438856844818446;essential;essenziale;essential
0.8205578715618423;environment;ambiente;ambient
0.8169977270897701;years;anni;years
0.8092590877028146;character;carattere;character
0.8043976760541934;team;squadra;team
0.8020728344775585;commitment;compromesso;commitment
0.7947410221062334;art;attrezzo;art
0.7941093694513309;risks;rischi;risks
0.7887205249348239;maintenance;manutenzione;maintenance
0.7871632407672109;structure;struttura;frame
0.7854539894209519;image;immagine;image
0.7810878283945802;portfolio;portafoglio;portfolio
0.7736214992800734;photograph;fotografia;photograph
0.7653583034732255;heritage;patrimonio;heritage
0.7639985522884781;flying;volando;blasting
0.7615541916181562;work;opera;opera
0.7613657722894974;images;immagini;images
0.7612372209162416;count;raccontare;count
0.7610991381276886;systems;sistemi;systems
0.7607441243856237;engine;motore;engine
0.7342758925630073;aesa;aesa;enac
0.7280557693924956;professionals;professionisti;professionals
0.7163410714551423;renewable;rinnovabile;renewable
0.7148634479723771;energetic;energetico;energetic
0.711695250379134;multimedia;multimedia;
0.7113487110411656;innovation;innovazione;innovation
0.7058308664790442;photo;foto;photo
